"path","total_files","tracked_files","markdown_files","private_files_aggregate","index_path","role","status","active_entry","replacement","privacy","suggested_disposition","reason"
"artifacts/generative-interview-board7/2026-08-06-board7a-chat-e2e-single-v0","9","9","6","0","artifacts/generative-interview-board7/2026-08-06-board7a-chat-e2e-single-v0/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-06-board7a-real-output-ab-v1","17","17","9","0","artifacts/generative-interview-board7/2026-08-06-board7a-real-output-ab-v1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7a-chat-e2e-single-v1","7","7","6","0","artifacts/generative-interview-board7/2026-08-07-board7a-chat-e2e-single-v1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0","10","10","6","0","artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.1","10","10","6","0","artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.2","9","9","5","0","artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.2/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.3","7","7","3","0","artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.3/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.4","5","5","2","0","artifacts/generative-interview-board7/2026-08-07-board7b-prompt-skill-v0.4/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-semantic-frame-v1","15","15","9","0","artifacts/generative-interview-board7/2026-08-07-board7b-semantic-frame-v1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-thinking-capability-v1","11","11","5","0","artifacts/generative-interview-board7/2026-08-07-board7b-thinking-capability-v1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-07-board7b-working-task-v1","19","19","10","0","artifacts/generative-interview-board7/2026-08-07-board7b-working-task-v1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-08-gi088-human-eval-v0","7","7","6","0","artifacts/generative-interview-board7/2026-08-08-gi088-human-eval-v0/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-board7b-working-task-v2-stage-transition","6","6","5","0","artifacts/generative-interview-board7/2026-08-09-board7b-working-task-v2-stage-transition/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v1","14","14","8","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v1/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v2-diagnostic","3","3","2","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v2-diagnostic/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v3-empty-recovery","4","4","3","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v3-empty-recovery/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v4-stage-transition","3","3","2","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v4-stage-transition/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v5-high-reliability","3","3","2","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v5-high-reliability/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v6-single-focus","4","4","3","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v6-single-focus/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v7-continuity-baseline","4","4","2","0","artifacts/generative-interview-board7/2026-08-09-gi088-human-eval-v7-continuity-baseline/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r1-visible-continuation","8","8","4","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r1-visible-continuation/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r2-ark-flash","3","3","2","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r2-ark-flash/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r3-deterministic-state","3","3","2","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r3-deterministic-state/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r4-pro","4","4","3","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v7r4-pro/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v8-question-decision-pro","4","4","3","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v8-question-decision-pro/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v8r1-final12","3","3","2","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v8r1-final12/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v8r2-foundation-hardening","9","9","6","0","artifacts/generative-interview-board7/2026-08-10-gi088-human-eval-v8r2-foundation-hardening/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board8","203","203","110","0","artifacts/generative-interview-board8/README.md","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-02-gi056-candidate","1","1","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-02-local-preview","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-02-preview","3","3","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-02-repaired-candidate","3","3","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-02-repaired-candidate-v2","3","3","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi056-candidate","3","3","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi057-candidate","5","5","4","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-candidate","5","5","4","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview","3","3","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview-v3-feeling2-direct-probe","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview-v4-feeling2-closed-probe","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview-v5-feeling2-closed-retry","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview-v6-feeling2-official-key","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview-v7-feeling2-pooled","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-deepseek-official-preview-v9-feeling2-unified-boundary","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v10-feeling2-unified-boundary","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v11-full-8-plus-2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v12-action1-focus-reaction-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v12-action2-entry-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v12-thought2-entry-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v13-action2-deep-runner","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v13-relationship2-closed-runner","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v13-thought2-deep-runner","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v14-relationship2-deep-angle-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v15-relationship2-fallback-context-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v16-strategy-5-54-full-8-plus-2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v17-action2-deep-fixture-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v17-thought1-correction-repair","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v18-candidate-5-55-action1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v18-candidate-5-55-feeling1-plus-smokes","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v18-candidate-5-55-feeling2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v18-candidate-5-55-relationship1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v18-candidate-5-55-relationship2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v18-candidate-5-55-thought2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v19-candidate-5-55-consolidated","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-action1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-action2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-feeling1-plus-smokes","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-feeling2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-relationship1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-relationship2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-thought1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v20-candidate-5-56-thought2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v21-candidate-5-56-action2-retry","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi058-local-preview-v21-candidate-5-56-consolidated","6","6","4","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-action2-official-precheck-r5","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-official-precheck-feeling1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-official-precheck-feeling1-r2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-scripted-deepseek-official-preview","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-scripted-deepseek-official-preview-r2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-scripted-deepseek-official-preview-r3","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
